sisId,Nombres,Apellidos
 20150101 , Kabul, Kabol
 20150102 , Qandahar , Qandahar
 20150103 , Herat , Herat
 20150104 , Mazar-e-Sharif , Balkh 
 20150105 , Amsterdam , Noord-Holland 
 20150106 , Rotterdam , Zuid-Holland 
 20150107 , Haag , Zuid-Holland 
 20150108 , Utrecht , Utrecht 
 20150109 , Eindhoven , Noord-Brabant 
 20150110 , Tilburg , Noord-Brabant 
 20150111 , Groningen , Groningen 
 20150112 , Breda , Noord-Brabant 
 20150113 , Apeldoorn , Gelderland 
 20150114 , Nijmegen , Gelderland 
 20150115 , Enschede , Overijssel 
 20150116 , Haarlem , Noord-Holland 
 20150117 , Almere , Flevoland 
 20150118 , Arnhem , Gelderland 
 20150119 , Zaanstad , Noord-Holland 
 20150120 , ´s-Hertogenbosch , Noord-Brabant 
 20150121 , Amersfoort , Utrecht 
 20150122 , Maastricht , Limburg 
 20150123 , Dordrecht , Zuid-Holland 
 20150124 , Leiden , Zuid-Holland 
 20150125 , Haarlemmermeer , Noord-Holland 
 20150126 , Zoetermeer , Zuid-Holland 
 20150127 , Emmen , Drenthe 
 20150128 , Zwolle , Overijssel 
 20150129 , Ede , Gelderland 
 20150130 , Delft , Zuid-Holland 
 20150131 , Heerlen , Limburg 
 20150132 , Alkmaar , Noord-Holland 
 20150133 , Willemstad , Curaçao 
 20150134 , Tirana , Tirana 
 20150135 , Alger , Alger 
 20150136 , Oran , Oran 
 20150137 , Constantine , Constantine 
 20150138 , Annaba , Annaba 
 20150139 , Batna , Batna 
 20150140 , Sétif , Sétif 
 20150141 , Sidi Bel Abbès , Sidi Bel Abbès 
 20150142 , Skikda , Skikda 
 20150143 , Biskra , Biskra 
 20150144 , Blida (el-Boulaida) , Blida 
 20150145 , Béjaïa , Béjaïa 
 20150146 , Mostaganem , Mostaganem 
 20150147 , Tébessa , Tébessa 
 20150148 , Tlemcen (Tilimsen) , Tlemcen 
 20150149 , Béchar , Béchar 
 20150150 , Tiaret , Tiaret 
 20150151 , Ech-Chleff (el-Asnam) , Chlef 
 20150152 , Ghardaïa , Ghardaïa 
 20150153 , Tafuna , Tutuila 
 20150154 , Fagatogo , Tutuila 
 20150155 , Andorra la Vella , Andorra la Vella 
 20150156 , Luanda , Luanda 
 20150157 , Huambo , Huambo 
 20150158 , Lobito , Benguela 
 20150159 , Benguela , Benguela 
 20150160 , Namibe , Namibe 
 20150161 , South Hill , – 
 20150162 , The Valley , – 
 20150163 , Saint John´s , St John 
 20150164 , Dubai , Dubai 
 20150165 , Abu Dhabi , Abu Dhabi 
 20150166 , Sharja , Sharja 
 20150167 , al-Ayn , Abu Dhabi 
 20150168 , Ajman , Ajman 
 20150169 , Buenos Aires , Distrito Federal 
 20150170 , La Matanza , Buenos Aires 
 20150171 , Córdoba , Córdoba 
 20150172 , Rosario , Santa Fé 
 20150173 , Lomas de Zamora , Buenos Aires 
 20150174 , Quilmes , Buenos Aires 
 20150175 , Almirante Brown , Buenos Aires 
 20150176 , La Plata , Buenos Aires 
 20150177 , Mar del Plata , Buenos Aires 
 20150178 , San Miguel de Tucumán , Tucumán 
 20150179 , Lanús , Buenos Aires 
 20150180 , Merlo , Buenos Aires 
 20150181 , General San Martín , Buenos Aires 
 20150182 , Salta , Salta 
 20150183 , Moreno , Buenos Aires 
 20150184 , Santa Fé , Santa Fé 
 20150185 , Avellaneda , Buenos Aires 
 20150186 , Tres de Febrero , Buenos Aires 
 20150187 , Morón , Buenos Aires 
 20150188 , Florencio Varela , Buenos Aires 
 20150189 , San Isidro , Buenos Aires 
 20150190 , Tigre , Buenos Aires 
 20150191 , Malvinas Argentinas , Buenos Aires 
 20150192 , Vicente López , Buenos Aires 
 20150193 , Berazategui , Buenos Aires 
 20150194 , Corrientes , Corrientes 
 20150195 , San Miguel , Buenos Aires 
 20150196 , Bahía Blanca , Buenos Aires 
 20150197 , Esteban Echeverría , Buenos Aires 
 20150198 , Resistencia , Chaco 
 20150199 , José C. Paz , Buenos Aires 
 20150200 , Paraná , Entre Rios








